,Ticker,EPSGrowthInLastOneYear,AverageEPSforLastTwoYears,AverageRevenueGrowthForLastTwoYear,AnnualPBRatio,Last2YearAvgROA,AnnualDebtEquityRatio,AnnualPERatio,LastQuarterPERatio,StockYearlyReturn
0,RELIANCE,-0.05444192204333771,16.91811524235595,-0.03518352214429668,2.062077691144872,0.008594867338827361,1.4032980068967724,105.44703990998683,150.5626750755061,1.0822341291505968
1,TCS,-0.036289984856314676,21.207015050430453,0.013951272397682707,10.026045320728741,0.059795554373866154,0.4995056728950416,111.26676411760664,123.45867506150442,0.8663364408112684
2,HDFCBANK,0.18919891540130174,12.615258749999999,0.05329793370370425,3.2753588593150678,0.004599642829601664,7.581893341708904,82.67527249646315,78.72992525819899,0.7003078563035824
3,HINDUNILVR,0.010237317935446612,7.752899104313418,0.050033551638189094,44.96515800223691,0.06911259303405079,1.2070853960643513,272.99194337308586,246.22023809523807,0.1718235442570602
4,INFY,0.0969018089650634,0.14209710498410894,0.02120896327104229,411.8256339546298,0.047656075871199424,0.4216280515322968,6035.149822446458,7387.059112602953,1.5638411726461723
5,HDFC,-0.21318437529181014,28.095557445724324,12.070146324487906,2.564273775460726,0.008327178367557767,4.611023188066912,61.7766419792666,66.84786973451891,0.5843668903231531
6,KOTAKBANK,0.04208893766416666,11.568404529792817,0.059500407914116905,4.138671286064318,0.005478409018534183,5.384970885014679,120.11219675678038,85.17125257166695,0.5618414612656097
7,ICICIBANK,0.49897889720898575,4.58875,0.028611363794104873,1.9986968339247753,0.0015098009451543367,9.769418600841673,172.13894445907627,47.59045512132527,0.6296296171118304
8,BAJFINANCE,-0.28513829326566387,20.084714573875463,-0.01542705003179655,7.415659294781776,0.007867901807850512,4.687958698733658,163.46460039552912,204.01991907313538,0.7547323651448636
9,BHARTIARTL,-0.2695728247342531,-11.447501310365011,0.03093904740301042,4.157618599583069,-0.014863336447379815,4.184680386748374,-10.28999076674322,324.6496891624663,0.2433161634566687
10,ASIANPAINT,0.012466777937843313,7.1226494062036245,0.14470789445017443,16.217481842228,0.039143004741134024,0.5839078652374033,270.8120270622097,229.37644620539803,0.4895273345704373
11,ITC,-0.02775696826638991,2.8291346487779547,-0.0011108944226078873,4.615893465405195,0.05060631807395269,0.2119580433221774,74.63876595380725,62.664232482384385,0.5185216847379357
12,HCLTECH,47.64717869032621,3.413580489965537,19.50785087076364,222.76172187535735,0.7487764443387243,0.514274553317122,2585.379790238288,70.12108478636235,1.2054449752206298
13,SBIN,0.6441245770846382,5.2237655846873094,0.023692883272687745,0.7334670415119839,0.0011957271840070777,15.565800044625375,40.4753172965105,31.530611225018724,0.7058550702489088
14,MARUTI,-0.2769322121517671,44.09155659326751,0.7065976155973652,3.879086041164094,0.023518432384864032,0.3191626921057823,125.05987420585063,143.50819726808837,0.3409692115578386
15,WIPRO,0.06702573309395556,4.3175,0.00375433368267964,2.4129929482036316,0.028832130080880813,0.45529918188457685,57.49023964156475,72.52710643857402,1.4133568769642284
16,AXISBANK,-0.4061581520059579,3.406835166551952,0.028983797236241445,1.511467155973818,0.00045413741716861526,9.022307998772543,-2119.651903977262,68.27170321558278,0.5181116945456957
17,LT,0.17530977189906913,18.929974338081337,0.07231294828672605,2.4759132604107092,0.012312986885020022,3.378346149615071,49.59589063900227,22.92980611132381,0.6461487790766967
18,DMART,-0.2399536562775894,4.2796371191270905,0.08187552611330505,13.774353124420404,0.02309863357063912,0.263763528453936,516.2878618372072,729.2566209625355,0.5797803425921557
19,ADANIGREEN,-1.513640356391308,-0.10847229198572281,0.1272659694841331,17.87432739424737,0.0014375679931161096,7.837665670558554,1602.9469698654093,6137.43533544539,7.777820932511017
20,ULTRACEMCO,0.9092693456099411,45.29710917986909,0.06790388360861123,3.234434617879378,0.01982319332023348,1.1422071776401517,113.26000024410759,94.61565533207121,0.9768354712854918
21,SUNPHARMA,-0.3973387622645878,3.3399165927389145,0.02721738269175604,2.3643632425307692,0.014701013633583919,0.4593825633792361,136.48945961733148,66.19709152416686,0.5868900468762717
22,BAJAJFINSV,-0.08092228384921006,60.48087037077269,0.3779740711269902,3.7727688752462294,0.0034161619088879883,6.960568952321319,179.6047369874841,94.39274336300127,0.4944296693585327
23,TITAN,-0.5088129465300762,3.0122748572497757,0.2094957866244742,16.05860602830091,0.022538834324645842,1.1282875701774426,372.6132490863275,609.8223227764303,0.5894102334212689
24,HDFCLIFE,0.0009841448738503401,1.6717072502429269,10.303321956827384,15.11398983286776,0.0023851767273807244,19.94222148530734,309.3598095498661,345.3086567374577,0.6231969400921127
25,ONGC,-0.8678065223845182,2.8933475273391283,-0.016921892994494023,0.617224912693865,0.004035490121368125,1.2841757035229169,20.13262775867965,20.072463768069642,0.7370672893543404
26,POWERGRID,0.06145538729150952,5.163326654008413,0.013150059876363944,0.0,0.0,0.0,0.0,27.43584255558373,0.5686004902619785
27,NTPC,-0.21123593956361023,3.091252295519992,0.05238287514552474,0.9086046662165228,0.009301677175655018,2.056437784002701,34.07520245600641,24.52449510179957,0.3767600809407574
28,ADANIPORTS,-0.13566518114413764,5.364528577723568,0.08572771285422102,2.8224840194830776,0.01677135457976661,1.3800068240492576,86.42261355987971,50.0366032282264,1.6100231937793366
29,DABUR,0.03960014668970691,2.2153811660227873,0.055508556612694354,12.531490316026693,0.0412907080031331,0.4543713925440935,214.35815456132295,187.01464757711608,0.26296819873325195
30,TECHM,-0.04924206095340015,12.179273906415423,0.0002626478076150516,2.802504419744179,0.028687883291077132,0.6206445056665758,60.08444595302353,65.32121790484689,0.765569972015716
